Enfants ,Age,Groupe age,M/C,synesthesielavande,synesthesiecitron,synesthesietruffe,synesthesiebanane,moyennesyne,encotruffe,encocitron,encobanane,encolavande,moyenco,recupbanane,recupcitron,recuplavande,recuptruffe,moyrecup
1,3,1,C,0,0,0,0,0,0,1,0,0,0.25,1,1,1,0,0.75
2,2,1,C,0,0,0,1,0.25,0,0,0,0,0,1,0,0,0,0.25
3,3,1,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,1,C,0,0,0,1,0.25,0,0,0,0,0,1,0,1,0,0.5
5,3,1,C,0,0,0,0,0,1,1,0,0,0.5,0,1,1,0,0.5
6,2,1,C,0,0,0,1,0.25,0,0,0,0,0,0,0,1,0,0.25
7,3,1,C,0,0,0,0,0,0,0,1,1,0.5,0,1,0,1,0.5
8,3,1,C,0,0,1,0,0.25,0,0,1,0,0.25,0,0,0,0,0
9,3,1,C,0,1,0,1,0.5,0,0,1,0,0.25,1,1,0,1,0.75
10,3,1,C,0,0,0,1,0.25,0,0,0,1,0.25,1,1,1,0,0.75
11,2,1,C,0,0,0,0,0,0,0,1,0,0.25,1,0,0,0,0.25
12,4,1,C,0,0,0,0,0,0,0,1,0,0.25,1,0,0,0,0.25
13,2,1,M,0,1,1,1,0.75,0,1,0,1,0.5,0,1,0,0,0.25
14,2,1,M,0.3666666667,0.3777777778,0.2666666667,0.2666666667,0.3194444444,1,1,1,0,0.75,1,,0,1,0.6666666667
15,2,1,M,0,1,1,1,0.75,0.6593406593,0.6593406593,0.5934065934,0.4782608696,0.5975871954,0.476744186,0.4941176471,0.5977011494,0.5348837209,0.5258616759
16,3,1,M,1,0,1,0,0.5,0,1,0,0,0.25,1,1,1,1,1
17,3,1,M,1,1,0,0,0.5,1,1,1,1,1,1,1,0,0,0.5
18,3,1,M,1,0,0,0,0.25,0,1,1,1,0.75,0,0,0,,0
19,3,1,M,1,1,1,0,0.75,0,1,1,0,0.5,0,0,0,0,0
20,3,1,M,0,1,0,0,0.25,1,1,1,1,1,0,1,1,1,0.75
21,3,1,M,1,0,0,1,0.5,1,0,1,0,0.5,1,1,1,0,0.75
22,3,1,M,0,1,1,0,0.5,1,0,1,1,0.75,0,1,1,0,0.5
